"variable","value","procs"
"mpiTime",0.958935,64
"mpiTime",0.95905,64
"mpiTime",0.959428,64
"mpiTime",0.959641,64
"mpiTime",0.959909,64
"mpiTime",0.960379,64
"mpiTime",0.960744,64
"mpiTime",0.961036,64
"mpiTime",0.96125,64
"mpiTime",0.961619,64
"mpiTime",0.961918,64
"mpiTime",0.962226,64
"mpiTime",0.962563,64
"mpiTime",0.962931,64
"mpiTime",0.963106,64
"mpiTime",0.963441,64
"mpiTime",0.963847,64
"mpiTime",0.964205,64
"mpiTime",0.964398,64
"mpiTime",0.964834,64
"mpiTime",0.965009,64
"mpiTime",0.965714,64
"mpiTime",0.965415,64
"mpiTime",0.966522,64
"mpiTime",0.966943,64
"mpiTime",0.96734,64
"mpiTime",0.967742,64
"mpiTime",0.968164,64
"mpiTime",0.968606,64
"mpiTime",0.969031,64
"mpiTime",0.96938,64
"mpiTime",0.969843,64
"mpiTime",0.970274,64
"mpiTime",0.970706,64
"mpiTime",0.971128,64
"mpiTime",0.971576,64
"mpiTime",0.968481,64
"mpiTime",0.95397,64
"mpiTime",0.954132,64
"mpiTime",0.954447,64
"mpiTime",0.95452,64
"mpiTime",0.954861,64
"mpiTime",0.955049,64
"mpiTime",0.955358,64
"mpiTime",0.955579,64
"mpiTime",0.956211,64
"mpiTime",0.9563,64
"mpiTime",0.956647,64
"mpiTime",0.956775,64
"mpiTime",0.957097,64
"mpiTime",0.957369,64
"mpiTime",0.957538,64
"mpiTime",0.957674,64
"mpiTime",0.95784,64
"mpiTime",0.958268,64
"mpiTime",0.958632,64
"mpiTime",0.958839,64
"mpiTime",0.958971,64
"mpiTime",0.959264,64
"mpiTime",0.959546,64
"mpiTime",0.959755,64
"mpiTime",0.96041,64
"mpiTime",0.96069,64
"mpiTime",0.960902,64
"mpiTime",0.960984,64
"mpiTime",0.961442,64
"mpiTime",0.961571,64
"mpiTime",0.961963,64
"mpiTime",0.962199,64
"mpiTime",0.962745,64
"mpiTime",0.96296,64
"mpiTime",0.963285,64
"mpiTime",0.963678,64
"mpiTime",0.963815,64
"mpiTime",0.964255,64
"mpiTime",0.964464,64
"mpiTime",0.964833,64
